run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
29,d80ca281228d4dbda63cf7969f7a0be7,781044696,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.17,1,1,4,0,0,0,289,57,1,0.0,43,1,"{'start_auto_explore': 3, 'move': 38, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 40, 'auto_explore_active': 6, 'visible_enemies_turns': 42, 'low_hp': 33}","{'explore': 3, 'combat_engage': 38, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:56:11.712348,-5,56,-0.08928571428571429,
30,e40d582b54304185bcbb42037848d10f,783287952,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,10.34,1,1,5,17,1,0,600,159,1,0.0,152,1,"{'start_auto_explore': 89, 'move': 43, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 90, 'in_combat': 45, 'auto_explore_active': 88, 'visible_enemies_turns': 44, 'low_hp': 36, 'in_loot': 17, 'floor_complete': 1}","{'explore': 89, 'combat_engage': 43, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:56:22.117771,33,56,0.5892857142857143,
31,c7318a2c80c54154aa202085a32ab6fc,793693840,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,17.77,1,1,5,13,1,0,600,131,1,0.0,128,1,"{'start_auto_explore': 80, 'move': 32, 'noop': 1, 'drink_potion': 1, 'pickup': 13, 'abort': 1}","{'in_explore': 81, 'in_combat': 34, 'auto_explore_active': 79, 'visible_enemies_turns': 33, 'low_hp': 27, 'in_loot': 13, 'floor_complete': 1}","{'explore': 80, 'combat_engage': 32, 'idle': 1, 'heal_low_hp': 1, 'loot': 13, 'no_stairs': 1}",,2025-12-12T17:56:39.950305,39,56,0.6964285714285714,
32,06047e190a7b47dbbd89dd3aad040e09,811526195,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.39,1,1,4,0,0,0,289,72,1,0.0,52,1,"{'start_auto_explore': 3, 'move': 47, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 49, 'auto_explore_active': 6, 'visible_enemies_turns': 51, 'low_hp': 44}","{'explore': 3, 'combat_engage': 47, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:56:42.406282,-5,56,-0.08928571428571429,
33,e24a23c25b8848fdb1bfe17380cc4ffd,813981699,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,20.68,1,1,5,14,1,0,600,137,1,0.0,128,1,"{'start_auto_explore': 70, 'move': 41, 'noop': 1, 'drink_potion': 1, 'pickup': 14, 'abort': 1}","{'in_explore': 71, 'in_combat': 43, 'auto_explore_active': 69, 'visible_enemies_turns': 42, 'low_hp': 37, 'in_loot': 14, 'floor_complete': 1}","{'explore': 70, 'combat_engage': 41, 'idle': 1, 'heal_low_hp': 1, 'loot': 14, 'no_stairs': 1}",,2025-12-12T17:57:03.136130,40,56,0.7142857142857143,
34,0927a8c3358d4241985a5e3cbd6244f1,834711318,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,8.86,1,1,5,17,1,0,600,149,1,0.0,143,1,"{'start_auto_explore': 88, 'move': 35, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 89, 'in_combat': 37, 'auto_explore_active': 87, 'visible_enemies_turns': 36, 'low_hp': 30, 'in_loot': 17, 'floor_complete': 1}","{'explore': 88, 'combat_engage': 35, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:57:12.052525,37,56,0.6607142857142857,
35,a59fe026c70d4902b105988bd9e4f4b8,843627907,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,13.75,1,1,5,15,1,0,600,159,1,0.0,150,1,"{'start_auto_explore': 86, 'move': 46, 'noop': 1, 'drink_potion': 1, 'pickup': 15, 'abort': 1}","{'in_explore': 87, 'in_combat': 48, 'auto_explore_active': 85, 'visible_enemies_turns': 47, 'low_hp': 39, 'in_loot': 15, 'floor_complete': 1}","{'explore': 86, 'combat_engage': 46, 'idle': 1, 'heal_low_hp': 1, 'loot': 15, 'no_stairs': 1}",,2025-12-12T17:57:25.860373,37,56,0.6607142857142857,
36,d151d5afd8564cd08a1f850e1e466452,857436031,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,2.4,1,1,5,2,1,0,289,72,1,0.0,56,1,"{'start_auto_explore': 3, 'move': 42, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 50, 'auto_explore_active': 11, 'visible_enemies_turns': 45, 'low_hp': 44, 'in_loot': 3}","{'explore': 3, 'combat_engage': 42, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:57:28.313420,37,56,0.6607142857142857,
37,101eb8ce0ed449e1882bbd37e994725c,859888613,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.38,1,1,5,2,1,0,289,67,1,0.0,54,1,"{'start_auto_explore': 3, 'move': 40, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 48, 'auto_explore_active': 11, 'visible_enemies_turns': 43, 'low_hp': 41, 'in_loot': 3}","{'explore': 3, 'combat_engage': 40, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:57:31.751482,33,56,0.5892857142857143,
38,950363ddc1c94f33ab6803e41abed45b,863326696,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.75,1,1,5,17,1,0,600,148,1,0.0,144,1,"{'start_auto_explore': 88, 'move': 36, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 89, 'in_combat': 38, 'auto_explore_active': 87, 'visible_enemies_turns': 37, 'low_hp': 27, 'in_loot': 17, 'floor_complete': 1}","{'explore': 88, 'combat_engage': 36, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:57:38.556647,33,56,0.5892857142857143,
