run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
38,1e2cfeb3911a43f49496aead5f652014,264899029,plague_gauntlet,balanced,death,death,,monster_spotted,0.33,1,1,0,0,0,0,462,14,1,0.0,14,1,"{'start_auto_explore': 1, 'move': 12, 'noop': 1}","{'in_explore': 1, 'in_combat': 13, 'auto_explore_active': 1, 'visible_enemies_turns': 13, 'low_hp': 3}","{'explore': 1, 'combat_engage': 12, 'idle': 1}",,2025-12-13T08:42:20.822877,-2,56,-0.03571428571428571,0
39,e6a0a4426e314c189d1b925efc49d59a,265306791,plague_gauntlet,balanced,death,death,,monster_spotted,0.37,1,1,2,0,0,0,462,13,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 5}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:21.274161,-4,56,-0.07142857142857142,0
40,a610dbc601824ff983a325b0e3f4e19f,265758168,plague_gauntlet,balanced,death,death,,monster_spotted,0.35,1,1,2,0,0,0,462,12,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 4}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:42:21.708866,-2,56,-0.03571428571428571,0
41,d3c236fe334543e2b2f9710bd3cf6648,266192851,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.46,1,1,3,6,1,0,840,123,1,0.0,133,1,"{'start_auto_explore': 105, 'move': 20, 'pickup': 6, 'drink_potion': 1, 'abort': 1}","{'in_explore': 106, 'in_combat': 20, 'auto_explore_active': 104, 'visible_enemies_turns': 20, 'low_hp': 11, 'in_loot': 7, 'floor_complete': 1}","{'explore': 105, 'combat_engage': 20, 'loot': 6, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:42:25.223811,48,56,0.8571428571428571,
42,f0cc971fe176471db981058e07c8b31f,269708374,plague_gauntlet,balanced,death,death,,monster_spotted,0.34,1,1,2,0,0,0,462,12,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 3}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:42:25.637693,-4,56,-0.07142857142857142,0
43,32c64176392b48d0b41023f51190fb95,270121549,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.44,1,1,3,7,1,0,840,123,1,0.0,131,1,"{'start_auto_explore': 103, 'move': 19, 'pickup': 7, 'drink_potion': 1, 'abort': 1}","{'in_explore': 104, 'in_combat': 19, 'auto_explore_active': 102, 'visible_enemies_turns': 19, 'low_hp': 4, 'in_loot': 8, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 19, 'loot': 7, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:42:29.120289,56,56,1.0,
44,d4c4de7b1a29458dbe35d97b9c13138e,273604396,plague_gauntlet,balanced,death,death,,monster_spotted,0.47,1,1,3,0,0,0,462,17,1,0.0,20,1,"{'start_auto_explore': 1, 'move': 18, 'noop': 1}","{'in_explore': 1, 'in_combat': 19, 'auto_explore_active': 1, 'visible_enemies_turns': 19, 'low_hp': 7}","{'explore': 1, 'combat_engage': 18, 'idle': 1}",,2025-12-13T08:42:29.667426,-4,56,-0.07142857142857142,0
45,b8715fd77a3d4512b3bf68c31d62fba9,274151310,plague_gauntlet,balanced,death,death,,monster_spotted,0.43,1,1,3,0,0,0,462,16,1,0.0,18,1,"{'start_auto_explore': 1, 'move': 16, 'noop': 1}","{'in_explore': 1, 'in_combat': 17, 'auto_explore_active': 1, 'visible_enemies_turns': 17, 'low_hp': 7}","{'explore': 1, 'combat_engage': 16, 'idle': 1}",,2025-12-13T08:42:30.167854,-3,56,-0.05357142857142857,0
46,4c90edb2fcd847eab610f05ddcce94ec,274651813,plague_gauntlet,balanced,death,death,,monster_spotted,0.35,1,1,3,0,0,0,462,12,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 6}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:42:30.591570,0,56,0.0,0
47,a4f5c6f20f324001bf5533e09bd4e907,275075682,plague_gauntlet,balanced,death,death,,monster_spotted,0.36,1,1,2,0,0,0,462,13,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 4}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:31.034039,-7,56,-0.125,0
48,05aeeca5126b47f4aa1136a00831e434,275517940,plague_gauntlet,balanced,death,death,,monster_spotted,0.29,1,1,1,0,0,0,462,10,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 11, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 3}","{'explore': 1, 'combat_engage': 11, 'idle': 1}",,2025-12-13T08:42:31.409780,-5,56,-0.08928571428571429,0
49,13a1305d69554bcaaf112a450a71379f,275894358,plague_gauntlet,balanced,death,death,,monster_spotted,0.34,1,1,1,0,0,0,462,12,1,0.0,15,1,"{'start_auto_explore': 1, 'move': 13, 'noop': 1}","{'in_explore': 1, 'in_combat': 14, 'auto_explore_active': 1, 'visible_enemies_turns': 14, 'low_hp': 3}","{'explore': 1, 'combat_engage': 13, 'idle': 1}",,2025-12-13T08:42:31.827272,-4,56,-0.07142857142857142,0
50,150ae69505654313a36472981e53dbfc,276311223,plague_gauntlet,balanced,death,death,,monster_spotted,0.29,1,1,2,0,0,0,462,12,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 11, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 4}","{'explore': 1, 'combat_engage': 11, 'idle': 1}",,2025-12-13T08:42:32.198346,0,56,0.0,0
