run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
36,9ca62fe886fe4c43949094750191a267,478815991,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,3.0,1,1,3,0,0,0,600,115,1,0.0,116,1,"{'start_auto_explore': 78, 'move': 36, 'noop': 1, 'abort': 1}","{'in_explore': 79, 'in_combat': 37, 'auto_explore_active': 76, 'visible_enemies_turns': 37, 'low_hp': 109, 'floor_complete': 1}","{'explore': 78, 'combat_engage': 36, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:10.291673,-4,56,-0.07142857142857142,
37,d329f46db44749948636f0540ec72c96,481867064,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.87,1,1,3,0,0,0,600,119,1,0.0,113,1,"{'start_auto_explore': 77, 'move': 34, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 35, 'auto_explore_active': 75, 'visible_enemies_turns': 35, 'low_hp': 104, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 34, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:13.213359,-6,56,-0.10714285714285714,
38,7bedd61710054462a28d36018f8b7722,484788713,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.66,1,1,3,0,0,0,600,102,1,0.0,103,1,"{'start_auto_explore': 77, 'move': 24, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 25, 'auto_explore_active': 75, 'visible_enemies_turns': 25, 'low_hp': 97, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 24, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:15.925289,-3,56,-0.05357142857142857,
39,18bef6a3d7c7445ab876986a803eead2,487500642,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.61,1,1,3,0,0,0,600,97,1,0.0,101,1,"{'start_auto_explore': 77, 'move': 22, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 23, 'auto_explore_active': 75, 'visible_enemies_turns': 23, 'low_hp': 93, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 22, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:18.600392,-3,56,-0.05357142857142857,
40,32baef8e60864636bcca5d583f5196a9,490175741,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.19,1,1,3,0,0,0,600,84,1,0.0,87,1,"{'start_auto_explore': 58, 'move': 27, 'noop': 1, 'abort': 1}","{'in_explore': 59, 'in_combat': 28, 'auto_explore_active': 56, 'visible_enemies_turns': 28, 'low_hp': 81, 'floor_complete': 1}","{'explore': 58, 'combat_engage': 27, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:20.843592,0,56,0.0,
41,19a749352f104ddfa9ba65841ba7a4c7,492418879,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,1.85,1,1,3,0,0,0,600,74,1,0.0,78,1,"{'start_auto_explore': 56, 'move': 20, 'noop': 1, 'abort': 1}","{'in_explore': 57, 'in_combat': 21, 'auto_explore_active': 54, 'visible_enemies_turns': 21, 'low_hp': 70, 'floor_complete': 1}","{'explore': 56, 'combat_engage': 20, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:22.749334,-2,56,-0.03571428571428571,
42,41a855ebd0994b0aad6cbdb761bf90c2,494324442,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.03,1,1,3,0,0,0,240,204,1,0.0,204,1,"{'start_auto_explore': 180, 'move': 23, 'noop': 1}","{'in_explore': 180, 'in_combat': 24, 'auto_explore_active': 179, 'visible_enemies_turns': 24, 'low_hp': 197}","{'explore': 180, 'combat_engage': 23, 'idle': 1}",,2025-12-12T17:51:27.828638,0,56,0.0,
43,a897ea3b76a949b1a190aba35e891fd9,499404625,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.66,1,1,3,0,0,0,600,102,1,0.0,103,1,"{'start_auto_explore': 77, 'move': 24, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 25, 'auto_explore_active': 75, 'visible_enemies_turns': 25, 'low_hp': 95, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 24, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:30.550441,-5,56,-0.08928571428571429,
44,66a403d13f5c47578912e82dc1fd6122,502125795,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.06,1,1,3,0,0,0,240,208,1,0.0,204,1,"{'start_auto_explore': 180, 'move': 23, 'noop': 1}","{'in_explore': 180, 'in_combat': 24, 'auto_explore_active': 179, 'visible_enemies_turns': 24, 'low_hp': 194}","{'explore': 180, 'combat_engage': 23, 'idle': 1}",,2025-12-12T17:51:35.666635,-2,56,-0.03571428571428571,
45,56cd2e4c54224f43a3695f2543f4fe5b,507242909,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.44,1,1,3,0,0,0,600,91,1,0.0,95,1,"{'start_auto_explore': 66, 'move': 27, 'noop': 1, 'abort': 1}","{'in_explore': 67, 'in_combat': 28, 'auto_explore_active': 64, 'visible_enemies_turns': 28, 'low_hp': 82, 'floor_complete': 1}","{'explore': 66, 'combat_engage': 27, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:38.168421,-7,56,-0.125,
46,5bf9ffec9c584a13a1420db10e8e107c,509743728,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.25,1,1,3,0,0,0,600,88,1,0.0,88,1,"{'start_auto_explore': 61, 'move': 25, 'noop': 1, 'abort': 1}","{'in_explore': 62, 'in_combat': 26, 'auto_explore_active': 60, 'visible_enemies_turns': 26, 'low_hp': 82, 'floor_complete': 1}","{'explore': 61, 'combat_engage': 25, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:40.468434,-1,56,-0.017857142857142856,
47,550f61888d79452ca523dc67e81cd388,512043710,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.75,1,1,3,0,0,0,600,107,1,0.0,107,1,"{'start_auto_explore': 78, 'move': 27, 'noop': 1, 'abort': 1}","{'in_explore': 79, 'in_combat': 28, 'auto_explore_active': 76, 'visible_enemies_turns': 28, 'low_hp': 99, 'floor_complete': 1}","{'explore': 78, 'combat_engage': 27, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:43.286743,-2,56,-0.03571428571428571,
48,955cf38f57a74e1da932b12e135185a9,514862138,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.04,1,1,3,0,0,0,240,205,1,0.0,204,1,"{'start_auto_explore': 176, 'move': 27, 'noop': 1}","{'in_explore': 176, 'in_combat': 28, 'auto_explore_active': 175, 'visible_enemies_turns': 28, 'low_hp': 194}","{'explore': 176, 'combat_engage': 27, 'idle': 1}",,2025-12-12T17:51:48.375076,-8,56,-0.14285714285714285,
49,091c0094a61e4d52ba56c59899b8e357,519951183,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.87,1,1,3,0,0,0,600,113,1,0.0,111,1,"{'start_auto_explore': 77, 'move': 32, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 33, 'auto_explore_active': 75, 'visible_enemies_turns': 33, 'low_hp': 103, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 32, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:51.305305,0,56,0.0,
50,b80ca940a0cb4e6c97f92e773c5f2542,522880798,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.04,1,1,3,0,0,0,600,79,1,0.0,81,1,"{'start_auto_explore': 58, 'move': 21, 'noop': 1, 'abort': 1}","{'in_explore': 59, 'in_combat': 22, 'auto_explore_active': 56, 'visible_enemies_turns': 22, 'low_hp': 75, 'floor_complete': 1}","{'explore': 58, 'combat_engage': 21, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:53.396646,-1,56,-0.017857142857142856,
